word,type
kräftig,Other
der Tango,Noun
angehen,Verb
der Löffel,Noun
starren,Verb
geeignet,Other
die Schicht,Noun
eventuell,Other
die Burg,Noun
der Wohnwagen,Noun
der Buchhalter,Noun
angesichts,Other
gelten,Verb
Februar,Other
der Dampf,Noun
der Euro,Noun
lila,Other
die Garderobe,Noun
der Italiener,Noun
der Schoß,Noun
die Schweiz,Noun
sich beschweren,Verb
verbreiten,Verb
aussuchen,Verb
gelb,Other
plaudern,Verb
stundenlang,Other
die Schere,Noun
einziehen,Verb
beeinflussen,Verb
streichen,Verb
aufstellen,Verb
der Sprecher,Noun
doof,Other
hilflos,Other
steif,Other
die Wende,Noun
italienisch,Other
auflegen,Verb
gratulieren,Verb
hinfahren,Verb
die Auswahl,Noun
der Mangel,Noun
die Branche,Noun
